CashReserveRatio,CashDepositRatio,ReverseRepoRate,MarginalFacilityRate,BankRate,TermDepositRate,SavingsDepositRate,CallMoneyRate,TreasuryBill,Inflation,RepoRate,BaseRate
4,0,6.25,6.75,6.75,6.25,3.5,6.32,7.12,3.94,6.5,8.95
4,4.69,6.25,6.75,6.75,6.25,3.5,6.36,7.02,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.39,7.02,3.94,6.5,8.95
4,4.6,6.25,6.75,6.75,6.25,3.5,6.39,6.99,3.94,6.5,8.95
4,0,6.25,6.75,6.75,6.25,3.5,6.35,6.97,3.94,6.5,8.95
4,4.69,6.25,6.75,6.75,6.25,3.5,6.24,6.95,3.94,6.5,8.95
4,0,6,6.5,6.5,6.25,3.5,6.21,6.97,3.94,6.25,8.95
4,4.82,6,6.5,6.5,6.25,3.5,6.16,6.93,3.94,6.25,8.95
4,0,6,6.5,6.5,6.25,3.5,6.16,6.93,3.94,6.25,8.95
4,4.76,6,6.5,6.5,6.25,3.5,6.12,6.91,3.94,6.25,8.95
4,0,6,6.5,6.5,6.25,3.5,6.17,6.89,3.94,6.25,8.95
4,4.9,6,6.5,6.5,6.25,3.5,6.22,6.89,3.94,6.25,8.95
4,0,6,6.5,6.5,6.25,3.5,6.09,6.89,3.94,6.25,8.95
4,4.55,6,6.5,6.5,6.25,3.5,5.95,6.82,3.94,6.25,8.95
4,0,5.75,6.25,6.25,6.25,3.5,5.91,6.8,3.94,6,8.95
4,4.74,5.75,6.25,6.25,6.25,3.5,5.94,6.8,3.94,6,8.95
4,0,5.75,6.25,6.25,6.25,3.5,5.91,6.63,3.94,6,8.95
4,4.58,5.75,6.25,6.25,6.25,3.5,5.9,6.48,3.94,6,8.95
4,0,5.75,6.25,6.25,6.25,3.5,5.9,6.42,3.94,6,8.95
4,4.89,5.75,6.25,6.25,6.25,3.5,5.92,6.42,3.94,6,8.95
4,0,5.75,6.25,6.25,6.25,3.5,5.91,6.31,3.94,6,8.95
4,4.47,5.75,6.25,6.25,6.25,3.5,5.87,6.31,3.94,6,8.95
4,0,5.75,6.25,6.25,6.25,3.5,5.91,6.31,3.94,6,8.95
4,5.11,5.75,6.25,6.25,6.25,3.5,6.15,6.33,3.94,6,8.95
4,0,5.75,6.25,6.25,6.25,3.5,5.92,6.33,3.94,6,8.95
4,4.63,5.75,6.25,6.25,6.25,3.5,5.9,6.44,3.94,6,8.95
4,0,5.75,6.25,6.25,6.25,3.5,5.88,6.5,3.94,6,8.95
4,4.69,5.75,6.25,6.25,6.25,3.5,5.93,6.5,3.94,6,8.95
4,0,5.75,6.25,6.25,6,3.5,5.94,6.48,3.94,6,8.95
